strain,character_state,character_state_annotation
BUMA.1121.00019,0,adjacency exists
BUMA.1121.00042,1,complex break of adjacency
BUMA.1121.00040,0,adjacency exists
BUMA.1121.00020,0,adjacency exists
BUMA.1121.00052,3,inversion between 284h-287t and 6h-8t
BUMA.1121.00006,4,inversion between 284h-287t and 291h-292t
BUMA.1121.00086,0,adjacency exists
BUMA.1121.00008,0,adjacency exists
BUMA.1121.00087,0,adjacency exists
BUMA.1121.00081,4,inversion between 284h-287t and 291h-292t
BUMA.1121.00010,5,inversion between 284h-287t and 558h-559t
BUMA.1121.00004,0,adjacency exists
BUMA.1121.00013,3,inversion between 284h-287t and 6h-8t
BUMA.1121.00002,5,inversion between 284h-287t and 558h-559t
BUMA.1121.00046,0,adjacency exists
BUMA.1121.00050,0,adjacency exists
BUMA.1121.00030,0,adjacency exists
BUMA.1121.00015,1,complex break of adjacency
BUMA.1121.00044,0,adjacency exists
BUMA.1121.00038,4,inversion between 284h-287t and 291h-292t
BUMA.1121.00024,0,adjacency exists
BUMA.1121.00036,1,complex break of adjacency
BUMA.1121.00085,3,inversion between 284h-287t and 6h-8t
BUMA.1121.00026,1,complex break of adjacency
BUMA.1121.00028,0,adjacency exists
BUMA.1121.00022,0,adjacency exists
BUMA.1121.00032,0,adjacency exists
BUMA.1121.00054,4,inversion between 284h-287t and 291h-292t
BUMA.1121.00017,0,adjacency exists
BUMA.1121.00048,4,inversion between 284h-287t and 291h-292t
BUMA.1121.00034,0,adjacency exists
