strain,character_state,character_state_annotation
BUMA.1121.00002,5,chromosomes: 2
BUMA.1121.00006,3,"chromosomes: 1, 1, 2"
BUMA.1121.00008,1,chromosomes: 1
BUMA.1121.00010,1,chromosomes: 1
BUMA.1121.00013,4,"chromosomes: 1, 2"
BUMA.1121.00015,2,"chromosomes: 1, 1"
BUMA.1121.00022,4,"chromosomes: 1, 2"
BUMA.1121.00038,3,"chromosomes: 1, 1, 2"
BUMA.1121.00040,3,"chromosomes: 1, 1, 2"
BUMA.1121.00046,2,"chromosomes: 1, 1"
BUMA.1121.00048,2,"chromosomes: 1, 1"
BUMA.1121.00052,1,chromosomes: 1
BUMA.1121.00054,3,"chromosomes: 1, 1, 2"
BUMA.1121.00081,3,"chromosomes: 1, 1, 2"
BUMA.1121.00085,1,chromosomes: 1
BUMA.1121.00086,5,chromosomes: 2
BUMA.1121.00087,5,chromosomes: 2
BUMA.1121.00004,0,no copies
BUMA.1121.00017,0,no copies
BUMA.1121.00030,0,no copies
BUMA.1121.00044,0,no copies
BUMA.1121.00034,0,no copies
BUMA.1121.00019,0,no copies
BUMA.1121.00020,0,no copies
BUMA.1121.00024,0,no copies
BUMA.1121.00028,0,no copies
BUMA.1121.00032,0,no copies
BUMA.1121.00036,0,no copies
BUMA.1121.00050,0,no copies
BUMA.1121.00026,0,no copies
BUMA.1121.00042,0,no copies
