strain,character_state,character_state_annotation
BUMA.1121.00002,2,"chromosomes: 1, 2"
BUMA.1121.00004,3,chromosomes: 2
BUMA.1121.00008,3,chromosomes: 2
BUMA.1121.00013,4,"chromosomes: 2, 2"
BUMA.1121.00017,3,chromosomes: 2
BUMA.1121.00019,3,chromosomes: 2
BUMA.1121.00020,3,chromosomes: 2
BUMA.1121.00022,2,"chromosomes: 1, 2"
BUMA.1121.00024,3,chromosomes: 2
BUMA.1121.00026,4,"chromosomes: 2, 2"
BUMA.1121.00028,3,chromosomes: 2
BUMA.1121.00030,3,chromosomes: 2
BUMA.1121.00032,3,chromosomes: 2
BUMA.1121.00034,3,chromosomes: 2
BUMA.1121.00040,4,"chromosomes: 2, 2"
BUMA.1121.00044,3,chromosomes: 2
BUMA.1121.00052,4,"chromosomes: 2, 2"
BUMA.1121.00085,4,"chromosomes: 2, 2"
BUMA.1121.00086,2,"chromosomes: 1, 2"
BUMA.1121.00087,1,chromosomes: 1
BUMA.1121.00010,0,no copies
BUMA.1121.00036,0,no copies
BUMA.1121.00006,0,no copies
BUMA.1121.00054,0,no copies
BUMA.1121.00081,0,no copies
BUMA.1121.00048,0,no copies
BUMA.1121.00038,0,no copies
BUMA.1121.00015,0,no copies
BUMA.1121.00046,0,no copies
BUMA.1121.00050,0,no copies
BUMA.1121.00042,0,no copies
